【整租】高行 汇郡海棠苑 1室1厅,汇郡海棠苑,3400,http://sh.58.com/pinpaigongyu/27715444824398x.shtml
【整租】浦江 桐心公寓 1室1厅,【整租】浦江,2000,http://sh.58.com/pinpaigongyu/27700521379380x.shtml
【合租】北蔡 鹏健苑 1室次卧,鹏健苑,2500,http://sh.58.com/pinpaigongyu/27888625424443x.shtml
【合租】高境 殷馨花苑 4室次卧,殷馨花苑,2300,http://sh.58.com/pinpaigongyu/27669344760771x.shtml
【合租】田林 兆丰虹桥公寓 4室次卧,【合租】田林,2889,http://sh.58.com/pinpaigongyu/27746817067320x.shtml
【整租】北桥区快 魔方公寓莲花南路 1室1厅,【整租】北桥区快,2200,http://sh.58.com/pinpaigongyu/27549240316479x.shtml
【整租】安亭 新城尚上城 3室1厅,新城尚上城,3400,http://sh.58.com/pinpaigongyu/27669370287436x.shtml
【合租】嘉定新城 永盛公寓 8室主卧,【合租】嘉定新城,2225,http://sh.58.com/pinpaigongyu/27888426908747x.shtml
【整租】吴泾 其灵公寓 1室0厅,【整租】吴泾,2268,http://sh.58.com/pinpaigongyu/27744922365365x.shtml
【整租】浦江 桐心公寓 1室1厅,【整租】浦江,2450,http://sh.58.com/pinpaigongyu/27871559590474x.shtml
【合租】张江 樟盛苑 3室主卧,樟盛苑,2251,http://sh.58.com/pinpaigongyu/27636067841352x.shtml
【整租】田林 柳州路588弄 1室0厅,柳州路588弄,3300,http://sh.58.com/pinpaigongyu/27549695279029x.shtml
【合租】北蔡 莲康苑 2室主卧,莲康苑,2126,http://sh.58.com/pinpaigongyu/27899843145645x.shtml
【整租】曹路 永华苑 1室1厅,永华苑,2600,http://sh.58.com/pinpaigongyu/27877926003372x.shtml
【整租】五角场 湾流青年国际社区 1室1厅,湾流青年国际社区,3100,http://sh.58.com/pinpaigongyu/27855328333516x.shtml
【整租】金杨新村 桐心公寓 1室1厅,【整租】金杨新村,2500,http://sh.58.com/pinpaigongyu/27882999454917x.shtml
【整租】高行 东高路398号 1室0厅,东高路398号,2258,http://sh.58.com/pinpaigongyu/27668571023431x.shtml
【整租】七宝 七莘路 魔方公寓 1室1厅,七莘路,3800,http://sh.58.com/pinpaigongyu/27448975776584x.shtml
【整租】南翔 云翔小区 2室1厅,云翔小区,3500,http://sh.58.com/pinpaigongyu/27803398326854x.shtml
【合租】唐镇 幸福里 3室次卧,幸福里,2531,http://sh.58.com/pinpaigongyu/27556657752393x.shtml
【整租】唐镇 唐巢高科坊(高科 1室1厅,唐巢高科坊(高科,2250,http://sh.58.com/pinpaigongyu/27933431859535x.shtml
【合租】淞宝 宝山一村 2室次卧,宝山一村,2471,http://sh.58.com/pinpaigongyu/27899660113577x.shtml
【整租】浦江 湾流社区联航路 1室1厅,湾流社区联航路,2580,http://sh.58.com/pinpaigongyu/27446325883325x.shtml
【整租】唐镇 金利公寓 1室1厅,【整租】唐镇,3300,http://sh.58.com/pinpaigongyu/27890179760061x.shtml
【整租】金桥 湾流国际青年社区 1室1厅,【整租】金桥,3500,http://sh.58.com/pinpaigongyu/27868280240064x.shtml
【合租】张江 汤臣豪园三期 4室次卧,汤臣豪园三期,2400,http://sh.58.com/pinpaigongyu/27913003234493x.shtml
【整租】金桥 桐心公寓 1室1厅,【整租】金桥,2500,http://sh.58.com/pinpaigongyu/27871874567214x.shtml
【整租】浦江 桐心公寓 1室1厅,【整租】浦江,2500,http://sh.58.com/pinpaigongyu/27779410259912x.shtml
【整租】北蔡 湾流国际青年社区 1室1厅,【整租】北蔡,2700,http://sh.58.com/pinpaigongyu/27817793753916x.shtml
【整租】北蔡 湾流国际青年社区 1室1厅,【整租】北蔡,3700,http://sh.58.com/pinpaigongyu/27835496863940x.shtml
【整租】北蔡 湾流国际青年社区 1室1厅,【整租】北蔡,2900,http://sh.58.com/pinpaigongyu/27813212374344x.shtml
【整租】闸北周边 延长小区 1室1厅,延长小区,3500,http://sh.58.com/pinpaigongyu/27910463814091x.shtml
【整租】唐镇 唐巢高科坊(高科 1室1厅,唐巢高科坊(高科,2600,http://sh.58.com/pinpaigongyu/27933123504064x.shtml
【整租】上海大学 祁连家园 2室1厅,祁连家园,3700,http://sh.58.com/pinpaigongyu/27438060012215x.shtml
【整租】五角场 湾流青年国际社区 1室1厅,湾流青年国际社区,3500,http://sh.58.com/pinpaigongyu/27888605851851x.shtml
【整租】三林 桐心公寓 1室1厅,【整租】三林,2555,http://sh.58.com/pinpaigongyu/27913027084488x.shtml
